Id,Designator,Footprint,Quantity,Designation and Description,Supplier and ref,Price
1,U5,TO-220-3_Vertical,1,LD1117V33 (3.3V voltage regulator),https://www.aliexpress.us/item/3256806988079414.html?spm=a2g0o.productlist.main.3.637d60252eXIqV&algo_pvid=a158d10b-2835-4aac-a143-b5f817a2c4b2&algo_exp_id=a158d10b-2835-4aac-a143-b5f817a2c4b2-5&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%217.90%212.53%21%21%2156.29%2118.01%21%402101e07217519132626106960ef313%2112000039701640530%21sea%21US%216407866782%21X&curPageLogUid=2T8uio8vRqFm&utparam-url=scene%3Asearch%7Cquery_from%3A,$2.53
2,"LS2,LS1",SPKR,2,2 40 mm Speaker,https://www.aliexpress.us/item/2251832603896688.html?spm=a2g0o.productlist.main.10.566e5fe4oiLvYh&algo_pvid=83c6df66-ddb1-4854-a945-8824eafa902b&algo_exp_id=83c6df66-ddb1-4854-a945-8824eafa902b-16&pdp_ext_f=%7B%22order%22%3A%22655%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.49%213.49%21%21%213.49%213.49%21%402103209b17519133822972686ee2ed%2163456371560%21sea%21US%216407866782%21X&curPageLogUid=gheH9ZSNErNc&utparam-url=scene%3Asearch%7Cquery_from%3A,$3.49
3,U3,TP4056-18650,1,TP4056 (Charger for receving power and sending it to the battery),https://www.aliexpress.us/item/3256805951432581.html?algo_pvid=ec462c7a-52f3-4f59-95ce-caf1b00881be&algo_exp_id=ec462c7a-52f3-4f59-95ce-caf1b00881be-1&pdp_ext_f=%7B%22order%22%3A%221486%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.71%211.53%21%21%2112.17%2110.86%21%4021030ea417519136588683244ec8d3%2112000035928826207%21sea%21US%216407866782%21X&curPageLogUid=VY5HJO9DoE6P&utparam-url=scene%3Asearch%7Cquery_from%3A,$1.53
4,U6,ESP32-WROOM-32,1,ESP32-WROOM-32,https://www.aliexpress.us/item/3256807453968983.html?productId=3256807453968983&selectedSkuId=12000041608696464&channel=detailPageDealCombineFloor&combineBizType=platformFreeShipping&intent_extra_sku_from=from_add_to_shopcart&type=mergeorder&pdp_npi=4%40dis%21USD%213.98%21%21%21%2128.38%21%21%40210330dd17519129487053338e0e65%2112000041608696464%21fus%21US%216407866782%21X&trackParams=%7B%22businessScenario%22%3A%22choiceV2%22%2C%22activityType%22%3A%22CHOICE_FREE_SHIPPING%22%7D&spm=a2g0o.detail.fusionpage.0&gatewayAdapt=glo2usa,$3.98
5,J1,JST_PH_B2B-PH-K_02x2.00mm_Straight,1,Connector for 3.7v battery,https://www.aliexpress.us/item/3256807239326445.html?spm=a2g0o.productlist.main.3.73192c3erTyxZL&algo_pvid=079f3eed-8ad0-44f3-ad12-95c81c2fbd84&algo_exp_id=079f3eed-8ad0-44f3-ad12-95c81c2fbd84-2&pdp_ext_f=%7B%22order%22%3A%222621%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.03%214.03%21%21%214.03%214.03%21%402101e9ec17519137814931184ece10%2112000040713658810%21sea%21US%216407866782%21X&curPageLogUid=edjIO5f2kLaY&utparam-url=scene%3Asearch%7Cquery_from%3A,$4.35
,,,1,3.7v Battery,https://www.amazon.com/Battery-Rechargeable-Lithium-Polymer-Connector/dp/B09F9W7Z6J/ref=sr_1_9?crid=1TR401K4X6ZA5&dib=eyJ2IjoiMSJ9.KCB9fZ-gARNYppoNYAXov9XKvS9e3V1s-AdOQb62pIdrCaD84KvaUKJC_LZv50nWe6smr9VjLdkhxvY7HeeLqPjJWibRKe_FmrEHKschmQaQJnj2CaF2F6igmNVpG0PKHYL40c3xHdibTWumgOw_hXXtT-8QGwx2j0ITLgIx2Y7Snv4pWEDs-Y7BR94mFe8_LkwAwomrk6pwkNmXJ9Byw6rqiJf5Z2IbAeH8y_Vx3bs.D_4k_SYVcbfEQKf6C-KDlggu_FamlVI4ZZ8OL05uv48&dib_tag=se&keywords=jst_ph_b2b-ph-k+3.7v+LiPo+with+connector&qid=1751052902&sprefix=jst_ph_b2b-ph-k+3.7v+lipo+with+connecto%2Caps%2C157&sr=8-9,$15.99
6,U4,pam8403,1,pam8403 (Audio Amplifier),https://www.aliexpress.us/item/3256808020069362.html?spm=a2g0o.productlist.main.1.1ea62e54yipVJk&algo_pvid=7d75c2e4-661b-424f-a5a8-446be7e0a3b5&algo_exp_id=7d75c2e4-661b-424f-a5a8-446be7e0a3b5-0&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2118.80%214.11%21%21%21134.03%2129.35%21%402101ef7017519142752096739edccb%2112000044232994936%21sea%21US%216407866782%21X&curPageLogUid=fh5bSvv4WmXF&utparam-url=scene%3Asearch%7Cquery_from%3A,$4.11
7,U2,MT3608_module_SMT,1,MT3608 (Boost Converter to 5V),https://www.aliexpress.us/item/3256808451665203.html?spm=a2g0o.productlist.main.3.111f44a5B83Lp6&algo_pvid=18241b83-5612-4a93-8ae3-42ad01bfe988&algo_exp_id=18241b83-5612-4a93-8ae3-42ad01bfe988-1&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2119.40%214.40%21%21%21138.29%2131.38%21%402103247017519144457253748e36f1%2112000046050373541%21sea%21US%216407866782%21X&curPageLogUid=ASB7QZbchkRA&utparam-url=scene%3Asearch%7Cquery_from%3A,$4.40
,,,1,Copper wire so speakers can move and for bad footprints,https://www.aliexpress.us/item/3256805363144332.html?spm=a2g0o.productlist.main.8.149140e7XCkWHg&aem_p4p_detail=202507071159026333334840939680006430863&algo_pvid=7c8e348a-2af8-4dae-979b-7b6e91bc2283&algo_exp_id=7c8e348a-2af8-4dae-979b-7b6e91bc2283-7&pdp_ext_f=%7B%22order%22%3A%226278%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.24%212.24%21%21%2115.97%2115.97%21%402103244417519147423114583eaab5%2112000033498140703%21sea%21US%216407866782%21X&curPageLogUid=dLaO6JzVf8R9&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202507071159026333334840939680006430863_3,$2.24
,,,1,USB-C cable (yes I seriously dont have one),https://www.aliexpress.us/item/3256809018603851.html?spm=a2g0o.productlist.main.61.500928b50rK6tn&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best&algo_pvid=ca338a6b-51fc-4c7c-8f6a-968e3f53972a&algo_exp_id=ca338a6b-51fc-4c7c-8f6a-968e3f53972a&pdp_ext_f=%7B%22order%22%3A%222013%22%7D&pdp_npi=4%40dis%21USD%216.15%212.69%21%21%2143.80%2119.12%21%402103205117519149667157613e49c3%2112000048293018810%21sea%21US%216407866782%21X&gatewayAdapt=4itemAdapt,$2.69
